Time,PIR2,Avg1,Avg2,Dif,Detrend
2025-04-27 04:00:00+00:00,22.18888888888889,37.04259259259259,18.14375,18.89884259259259,4.045138888888889
2025-04-27 05:00:00+00:00,2.15,22.824074074074073,18.152199074074076,4.6718749999999964,-16.002199074074078
2025-04-27 06:00:00+00:00,2.213888888888889,8.850925925925923,17.88171296296296,-9.030787037037038,-15.667824074074073
2025-04-27 07:00:00+00:00,7.9,4.087962962962961,18.21087962962963,-14.122916666666669,-10.31087962962963
2025-04-27 08:00:00+00:00,0.013888888888888888,3.3759259259259236,18.211458333333333,-14.83553240740741,-18.197569444444444
2025-04-27 09:00:00+00:00,5.513888888888889,4.475925925925924,18.012615740740742,-13.536689814814817,-12.498726851851853
2025-04-27 10:00:00+00:00,1.086111111111111,2.2046296296296277,18.05787037037037,-15.853240740740743,-16.971759259259258
2025-04-27 11:00:00+00:00,0.002777777777777778,2.2009259259259237,17.714583333333334,-15.51365740740741,-17.711805555555557
2025-04-27 12:00:00+00:00,0.6222222222222222,0.570370370370368,17.72488425925926,-17.15451388888889,-17.102662037037035
2025-04-27 13:00:00+00:00,4.530555555555556,1.7185185185185163,17.62476851851852,-15.906250000000002,-13.094212962962963
2025-04-27 14:00:00+00:00,0.041666666666666664,1.7314814814814792,17.49571759259259,-15.764236111111112,-17.454050925925923
2025-04-27 15:00:00+00:00,0.6555555555555556,1.7425925925925903,17.32465277777778,-15.582060185185188,-16.669097222222224
2025-04-27 16:00:00+00:00,7.344444444444444,2.680555555555553,17.574421296296297,-14.893865740740743,-10.229976851851852
2025-04-27 17:00:00+00:00,44.394444444444446,17.46481481481481,18.458680555555556,-0.9938657407407447,25.93576388888889
2025-04-27 18:00:00+00:00,14.216666666666667,21.985185185185184,16.896527777777777,5.088657407407407,-2.6798611111111104
2025-04-27 19:00:00+00:00,34.766666666666666,31.125925925925923,16.374421296296294,14.751504629629629,18.39224537037037
2025-04-27 20:00:00+00:00,40.11666666666667,29.7,17.05763888888889,12.64236111111111,23.05902777777778
2025-04-27 21:00:00+00:00,26.355555555555554,33.74629629629629,17.529976851851853,16.21631944444444,8.825578703703702
